threshold,recall,specificity,precision,f1,accuracy,tn,fp,fn,tp,profit,meets_recall,meets_specificity,meets_both,model,config,min_tpr_tnr
0.3799999999999999,0.6207935710698141,0.80596376087887,0.4761171032357473,0.538914323086985,0.765,5649,1360,755,1236,-5456200,False,True,False,XGB,SPW=2.0,0.6207935710698141
0.3899999999999999,0.6077348066298343,0.8160935939506349,0.4841936774709884,0.5389755011135857,0.77,5720,1289,781,1210,-5713800,False,True,False,XGB,SPW=2.0,0.6077348066298343
0.3999999999999998,0.6007031642390759,0.824225995149094,0.4925864909390445,0.5412989364109527,0.7747777777777778,5777,1232,795,1196,-5845000,False,True,False,XGB,SPW=2.0,0.6007031642390759
0.4099999999999998,0.592164741336012,0.8325010700527893,0.501062473438164,0.5428176795580111,0.7793333333333333,5835,1174,812,1179,-6008800,False,True,False,XGB,SPW=2.0,0.592164741336012
0.4199999999999998,0.5821195379206429,0.8419175345983735,0.5112483458314954,0.5443870361672146,0.7844444444444445,5901,1108,832,1159,-6202400,False,True,False,XGB,SPW=2.0,0.5821195379206429
0.4299999999999998,0.5710698141637368,0.8487658724497075,0.517523896222121,0.5429799426934098,0.7873333333333333,5949,1060,854,1137,-6425200,False,True,False,XGB,SPW=2.0,0.5710698141637368
0.43999999999999984,0.56353591160221,0.8558995577115137,0.5262664165103189,0.5442638855202522,0.7912222222222223,5999,1010,869,1122,-6570200,False,True,False,XGB,SPW=2.0,0.56353591160221
0.44999999999999984,0.5514816675037669,0.8611784848052504,0.5301786576533076,0.5406203840472674,0.7926666666666666,6036,973,893,1098,-6819400,False,True,False,XGB,SPW=2.0,0.5514816675037669
0.45999999999999985,0.5464590657960824,0.8674561278356399,0.5394149727317799,0.5429141716566867,0.7964444444444444,6080,929,903,1088,-6911800,False,True,False,XGB,SPW=2.0,0.5464590657960824
0.46999999999999986,0.5389251632345555,0.8735910971607933,0.5477284328739153,0.5432911392405063,0.7995555555555556,6123,886,918,1073,-7059600,False,True,False,XGB,SPW=2.0,0.5389251632345555
0.47999999999999976,0.5283776996484179,0.8787273505492937,0.5531019978969506,0.5404572309273055,0.8012222222222222,6159,850,939,1052,-7276200,False,True,False,XGB,SPW=2.0,0.5283776996484179
0.48999999999999977,0.5193370165745856,0.8830075617063775,0.5577130528586839,0.5378413524057217,0.8025555555555556,6189,820,957,1034,-7462200,False,True,False,XGB,SPW=2.0,0.5193370165745856
0.4999999999999998,0.5102963335007534,0.8887145099158225,0.5657015590200446,0.5365724848164775,0.805,6229,780,975,1016,-7644200,False,True,False,XGB,SPW=2.0,0.5102963335007534
0.5099999999999998,0.5002511300853842,0.893850763304323,0.5724137931034483,0.533905119270973,0.8067777777777778,6265,744,995,996,-7849800,False,True,False,XGB,SPW=2.0,0.5002511300853842
0.5199999999999998,0.48518332496233046,0.9025538593237267,0.5858095815645846,0.5307692307692308,0.8102222222222222,6326,683,1025,966,-8155400,False,True,False,XGB,SPW=2.0,0.48518332496233046
0.5299999999999998,0.47513812154696133,0.9078327864174632,0.5942211055276382,0.528049120848451,0.8121111111111111,6363,646,1045,946,-8360600,False,True,False,XGB,SPW=2.0,0.47513812154696133
0.5399999999999998,0.4630838774485183,0.9139677557426167,0.6045901639344262,0.5244596131968147,0.8142222222222222,6406,603,1069,922,-8607400,False,True,False,XGB,SPW=2.0,0.4630838774485183
0.5499999999999998,0.4485183324962331,0.9196747039520616,0.6133241758241759,0.518131708732231,0.8154444444444444,6446,563,1098,893,-8910400,False,True,False,XGB,SPW=2.0,0.4485183324962331
0.5599999999999997,0.4344550477147162,0.9229561991724925,0.6156583629893239,0.5094228504122497,0.8148888888888889,6469,540,1126,865,-9209200,False,True,False,XGB,SPW=2.0,0.4344550477147162
0.5699999999999997,0.4229030637870417,0.9275217577400485,0.6237037037037036,0.5040407063753367,0.8158888888888889,6501,508,1149,842,-9449400,False,True,False,XGB,SPW=2.0,0.4229030637870417
0.5799999999999997,0.4153691612255148,0.9305179055500071,0.6293759512937596,0.5004538577912254,0.8165555555555556,6522,487,1164,827,-9606000,False,True,False,XGB,SPW=2.0,0.4153691612255148
0.5899999999999997,0.40532395781014563,0.932658011128549,0.6309616888193902,0.4935779816513762,0.816,6537,472,1184,807,-9820000,False,True,False,XGB,SPW=2.0,0.40532395781014563
0.5999999999999998,0.3952787543947765,0.9355114852332715,0.6351896690879741,0.4873065015479876,0.816,6557,452,1204,787,-10032000,False,True,False,XGB,SPW=2.0,0.3952787543947765
0.6099999999999998,0.38824711200401807,0.937223569696105,0.6372629843363561,0.48252184769038703,0.8157777777777778,6569,440,1218,773,-10181200,False,True,False,XGB,SPW=2.0,0.38824711200401807
0.6199999999999998,0.38221998995479656,0.9392210015694108,0.641112047177759,0.47891755821271237,0.816,6583,426,1230,761,-10307600,False,True,False,XGB,SPW=2.0,0.38221998995479656
0.6299999999999997,0.3751883475640382,0.9419318019688971,0.6473136915077989,0.4750397456279809,0.8165555555555556,6602,407,1244,747,-10454000,False,True,False,XGB,SPW=2.0,0.3751883475640382
